timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-20 17:22:09,0.00,11,100.00,30,healthy
2026-05-20 17:22:17,0.00,11,100.00,14,healthy
2026-05-20 17:22:25,0.00,11,100.00,11,healthy
2026-05-20 17:22:33,0.00,11,100.00,74,unhealthy
2026-05-20 17:22:43,0.00,11,100.00,9,unhealthy
2026-05-20 17:22:52,100.41,1023,99.90,17,unhealthy
2026-05-20 17:22:55,0.00,11,100.00,11,healthy
2026-05-20 17:23:05,0.00,11,100.00,14,unhealthy
2026-05-20 17:23:08,0.00,11,100.00,12,unhealthy
2026-05-20 17:23:18,0.00,11,100.00,17,unhealthy
2026-05-20 17:23:21,0.00,11,100.00,12,unhealthy
2026-05-20 17:23:24,0.00,11,100.00,14,unhealthy
2026-05-20 17:23:28,0.00,11,100.00,13,unhealthy
2026-05-20 17:23:32,0.02,23.41,2.29,16,healthy
2026-05-20 17:23:42,35.18,206.1,20.13,4654,healthy
2026-05-20 17:23:52,101.27,1024,100.00,41,unhealthy
2026-05-20 17:24:01,0.00,11,100.00,12,healthy
2026-05-20 17:24:09,0.00,11,100.00,15,unhealthy
2026-05-20 17:24:17,0.00,11,100.00,19,unhealthy
2026-05-20 17:24:26,0.00,11,100.00,14,unhealthy
2026-05-20 17:24:39,0.00,23.33,2.28,1874,healthy
2026-05-20 17:24:46,0.00,11,100.00,493,healthy
2026-05-20 17:24:53,0.00,11,100.00,11,healthy
2026-05-20 17:25:02,0.00,11,100.00,22,unhealthy
2026-05-20 17:25:10,0.00,11,100.00,21,unhealthy
2026-05-20 17:25:19,0.00,11,100.00,20,unhealthy
2026-05-20 17:25:26,30.89,85.84,8.38,2861,healthy
2026-05-20 17:25:31,0.00,11,100.00,22,unhealthy
2026-05-20 17:25:34,0.00,11,100.00,12,unhealthy
2026-05-20 17:25:41,43.17,127.2,12.42,2322,healthy
2026-05-20 17:25:45,0.00,11,100.00,14,unhealthy
2026-05-20 17:25:48,0.00,11,100.00,13,unhealthy
2026-05-20 17:25:51,0.00,11,100.00,13,unhealthy
2026-05-20 17:25:55,0.00,11,100.00,13,unhealthy
2026-05-20 17:25:59,0.02,23.31,2.28,14,healthy
2026-05-20 17:26:09,95.21,356,34.77,3828,healthy
2026-05-20 17:26:18,100.60,641.4,62.64,3410,healthy
2026-05-20 17:26:27,101.64,1024,100.00,301,unhealthy
2026-05-20 17:26:37,0.00,11,100.00,8,unhealthy
2026-05-20 17:26:45,0.00,11,100.00,20,unhealthy
2026-05-20 17:26:53,101.05,1024,100.00,16,unhealthy
2026-05-20 17:26:57,0.00,11,100.00,12,healthy
2026-05-20 17:27:04,100.95,1024,100.00,9,unhealthy
2026-05-20 17:27:08,0.00,11,100.00,14,unhealthy
2026-05-20 17:27:11,0.00,11,100.00,10,unhealthy
2026-05-20 17:27:19,100.87,1024,100.00,12,unhealthy
2026-05-20 17:27:23,0.00,11,100.00,13,unhealthy
2026-05-20 17:27:26,0.00,11,100.00,15,unhealthy
2026-05-20 17:27:29,0.00,11,100.00,13,unhealthy
2026-05-20 17:27:32,0.00,11,100.00,19,healthy
2026-05-20 17:27:38,6.84,23.97,2.34,14,healthy
2026-05-20 17:27:47,101.04,1023,99.90,536,unhealthy
2026-05-20 17:27:56,101.13,1024,100.00,1115,unhealthy
2026-05-20 17:28:05,0.00,11,100.00,13,healthy
2026-05-20 17:28:17,0.08,106.6,10.41,2082,healthy
2026-05-20 17:28:23,0.00,11,100.00,19,unhealthy
2026-05-20 17:28:31,101.04,1024,100.00,1073,healthy
